Video ID,normalized_title,normalized_transcript
lCHqmzynO-s,overrated v underrated tech,overrated versus underrated tech college edition start packing gaming pc maybe rethink bringing whole setup brutal plus dont want locked room day bring laptop instead setup later really want also get wireless mouse trackpads sometimes pain like wireless charger work pretty slowly work pretty quickly especially graphing calculator need youre stem student youre done store work drive flash drive professor want hard copy use dorm spinter instead buying one follow gohar
ZPJ6GLTTMiU,submarine stay underwater month short sea submarine technology undersea,let uncover secret life submarine submarine like underwater city generate oxygen splitting water molecule cool right keep light use nuclear reactor run decade without refueling food submarine pack enough supply last month even chef board whip tasty meal waste compacted stored surface fresh water submarine desalination plant turn sea water drinkable water staying connected use specialized communication system stay touch outside world next time think submarine remember theyre engineering marvel surviving month beneath wave dont forget subscribe fascinating content
5fKkXFresYI,time tech saved life,top five time tech saved people life france national football stadium attacked suicide bomber passerby accidentally saved life taking phone call exact minute piece shrapnel explosion flew head saved phone british snowboarder tim blakey fell five meter ice alp mountain managed use emergency shortcut iphone clicking side button five time call help three percent battery remaining year old susan putman tripped fell studio hit head started losing lot blood thing saved wearing airpods used siri call emergency service shooter opened fired florida airport man named steve frappier felt sudden impact back astounded find macbook hed carrying rucksack actually stopped bullet track saved life maybe craziest one ukrainian soldier war russia happened put iphone pro exact pocket shot later day
kmczFR9esKg,worst budget pc build ever seen diy fail tech technology short,build computer said itll easy music said customer saved month build budget desktop randomly freezing use similar freeze seeing woman real life checking log show error god made crafted greatest technician thats ever gpu ethernet port everythings f even swapping gpu ram problem well random cpu light wonder could usb port decently exposing power supply cable slipped wrong hole overheating cpu much contact heat sink reality well guess ill start tightening heat sink mount doesnt feel right hell even temp fix fulger usb disconnected still crashing old motherboard new one along complimentary nvme even though botched build horribly know worked hard dont lot money little treat help keep head motivate better next time
uvG-WToQfU4,old new technology,prefer old new version technology mean keyboard sleeker there question typewriter look much cooler also think letter alphabetized dont know though could wrong think overall give keyboard ipod cool drop iphones much convenient like dont carry entire second device music mean im nostalgic nintendo switch great console portability doesnt get talked enough like using plane stuff im excited switch know like streaming kind annoying never really anything like movie come like disappears could never really watch id still say streaming though cuz convenient feel like printing flopped like havent heard crazy use expecting like transform industry especially medical like bone stuff feel like kind flubbed normal printer suck like obsolete gas car sure im sold electric yet maybe one day
eSucdOAIwrg,brutal tech prank ever,five brutal tech prank ever first airpod sticker theyre exact size real airpods mean stick wherever expect lot people watch amazement stranger think theyve naved free airpod stepping keyboard typer br plug small usb back someone computer watch rage insert random character every second whatever theyre typing smart plug get even chaotic friend house pull plug home entertainment system place smart plug next time halfway favorite film youre one turn prefer terrify friend cant really go wrong remote control crocodile head next time swimming pool lake slip crocodile sneak far brutal fake phone smatch ask borrow friend phone make phone call friend looking quickly swap phone old broken one watch horror call turn bad start raging smash phone floor subscribe also want friend
or7JOVi2vwU,gaming technology getting insane,there viral clip new vr gaming technology first scan house turn house horror game pretty cool imagine happens la dream welcome land going fit jump c time right see
l3yfcRuts1I,nastiest tech prank,three nasty tech prank make everyone hate number three ask borrow friend iphone head shortcut app set automation make phone speak every time battery level hit certain percentage let say twenty percent ive set friend say oh baby charge please number two use airdrop share favorite meme stranger busy train go good sir wont accept see mean accept youve found friend life number one install computer cenify chrome extension moment every single time user load new page chance theyll hit john cena video instead content expecting name john cena hey wouldnt see coming
VuiIR08lkK4,highest paying tech company short,google highest paying tech company let talk top five highest paying tech company number one shock number five google pay entry level software engineer four snap pay software engineer straight college didnt see coming three pinterest pay entry level engineer number two first company break barrier netflix pay thousand dollar new grad gosh thats lot money number one stripe pay thats
1iuaVRIhe5c,hologram generator mind blowing,editing trick real hologram generator basically fan fan four blade filled ton micro led rotating light blade move led change color micro degree rotation right speed effectively paint k resolution image floating air play video use display gaming even cast phone display directly onto oh also fan
NTMAr2clXeY,ai glass worth carterpcs tech techtok techfacts ai frame glass tech,ai glass theyre called frame camera built glass could see youre seeing click button could ask builtin ai question youre looking okay light almost feel cheap right look like display um know took risk stylistically even though look stupid though give credit bulky whatsoever app seems pretty intuitive good start smart could customize much ai talk lot time chat box yap yap yap yap ive got math problem front right tap like tap like okay go solve problem x equal please provide equation im looking man maybe cant read monitor looking right headphone candle nice display interface im looking right kind finicky could sometimes see weirdly glass dont speaker hear talk coming phone speaker buck ideal form factor actually kind growing want like ai software still seems inconsist
Ym3tDIzueBU,really tiny spy technology,may look like ordinary piece junk mail reality there secret message hidden page even looking right wouldnt know let circle cut little piece paper soak water see little black speck actually solid separate piece come doesnt look like much thats message small see take little chunk stick microscope see hidden message called micro dot key piece spy technology almost year world war used allow sending dense information discreetly via carrier pigeon cold war used extensively spy operating soviet union around world want learn make youre going watch full video channel
