Video ID,clean_title,clean_transcript
lCHqmzynO-s,overrated vs underrated tech,overrated versus underrated tech college edition you start packing up your gaming pc maybe rethink that bringing a whole setup is brutal plus you dont want to be locked up in your room all day bring your laptop instead and your setup later only if you really want it also get a wireless mouse because trackpads are sometimes a pain just like wireless chargers which work pretty slowly but you work pretty quickly especially with your graphing calculator which you need if youre a stem student once youre done you store your work in drive not a flash drive what is this the s but your professor wants a hard copy so you use your dorms spinter instead of buying one and follow gohar
ZPJ6GLTTMiU,how submarines stay underwater for months shorts sea submarine technology undersea,lets uncover the secret life of submarines submarines are like underwater cities they generate their own oxygen by splitting water molecules cool right and to keep the lights on they use nuclear reactors which can run for decades without refueling what about food submarines pack enough supplies to last months they even have chefs on board to whip up tasty meals waste is compacted and stored until they surface and for fresh water submarines have desalination plants that turn sea water into drinkable water staying connected they use specialized communication systems to stay in touch with the outside world so next time you think about submarines remember theyre engineering marvels surviving months beneath the waves dont forget to subscribe for more fascinating content
5fKkXFresYI,times tech has saved lives,top five times that tech has saved peoples lives when frances national football stadium was attacked by suicide bombers in the passerby accidentally saved his life by taking a phone call at that exact minute when a piece of shrapnel from the explosion flew at his head but was saved by his phone when british snowboarder tim blakey fell five meters into the ice in the alps mountains he managed to use the emergency shortcut on his iphone by just clicking the side button five times to call for help with only three percent battery remaining when year old susan putman tripped and fell in her studio she hit her head and started losing a lot of blood but the thing that saved her was that she was wearing airpods and she used siri on them to call emergency services when a shooter opened fired in florida airport a man named steve frappier felt a sudden impact in his back he was astounded to find that the macbook hed been carrying in his rucksack had actually stopped a bullet in its tracks and saved his life but maybe the craziest one of all is that a ukrainian soldier in the war against russia just so happened to put his iphone pro in the exact pocket that was where he was shot later that day
kmczFR9esKg,the worst budget pc build i have ever seen diy fail tech technology shorts,build your own computer they said itll be easy they music said my customer saved up for months to build this budget desktop only to have it randomly freezing them during use similar to when you freeze after seeing a woman in real life now checking the logs show more errors than god made when he crafted the greatest technician thats ever from the gpu to the ethernet port everythings f and even after swapping out the gpu in the ram we have the same problem as well as a random cpu light on i wonder what it could be a usb port in decently exposing itself a power supply cable that slipped into the wrong hole or an overheating cpu that had as much contact to the heat sink as you do with reality well i guess ill start with tightening the heat sink mounts but it doesnt feel right what the hell but even with the temps fix and the fulger usb disconnected its still crashing so out with the old motherboard and in with a new one along with a complimentary nvme because even though they botched this build horribly i know they worked hard and dont have a lot of money so this is a little treat to help them keep their head up and to motivate them to do better next time
uvG-WToQfU4,old or new technology,do you prefer the old or new version of these technologies i mean keyboards are sleeker but theres no question that typewriters look much cooler also i think the letters are alphabetized i dont know though i could be wrong on that but i think overall you have to give it to keyboards ipods were cool when they drop but iphones are just so much more convenient like you dont have to carry an entire second device for your music now i mean im nostalgic for the nintendo but the switch is a great console the portability doesnt get talked about enough like using it on planes and stuff im excited for the switch to you know what i like streaming but its kind of annoying that you never really own anything so like if a movie comes on and you like it then it disappears you could never really watch it again but id still say streaming though cuz its so convenient i feel like d printing flopped like i havent heard of any crazy use of it i was expecting to like transform industries especially medical like bones and stuff feel like they kind of flubbed but normal printers suck too those are like so obsolete gas car for sure im not sold on electric yet maybe one day
eSucdOAIwrg,most brutal tech pranks ever,five of the most brutal tech pranks ever first up are the airpod stickers theyre the exact same size as real airpods which means stick these down wherever you expect a lot of people and then watch in amazement as strangers think theyve naved themselves a free airpod stepping it up further the keyboard typer br plug the small usb into the back of someones computer and then watch them rage as it inserts random characters every few seconds into whatever theyre typing smart plugs can get even more chaotic at a friends house pull out the plug for their home entertainment system place your smart plug in between next time they halfway through their favorite film youre the one who can turn it off if you prefer to terrify your friends then you cant really go wrong with the remote control crocodile head next time they swimming in a pool or a lake slip the crocodile in and sneak up on them but by far the most brutal is the fake phone smatch ask to borrow a friends phone to make a phone call when your friends not looking quickly swap that phone for an old or a broken one then watch their horror as your call turns bad you start raging and you smash the phone on the floor subscribe if you also want to have no friends
or7JOVi2vwU,gaming technology is getting insane,so theres a viral clip of this new vr gaming technology that first scans your house and then it turns your house into a horror game now its pretty cool but imagine this happens la with a dream my again welcome to the land of am i going to fit in jump in the c here i am for the time to my right and i see the
l3yfcRuts1I,nastiest tech pranks,three nasty tech pranks to make everyone hate you number three ask to borrow a friends iphone head into the shortcuts app and set up an automation that will make the phone speak every time the battery level hits a certain percentage lets say twenty percent so ive just set my friends up to say this oh baby charge me up please number two use airdrop to share your favorite meme to strangers on a busy train there you go good sir they wont accept it but they will see it i mean if they do accept it youve found a friend for life and number one install on their computer the cenify chrome extension and from that moment on every single time that user loads a new page there is a chance that theyll be hit with a john cena video instead of the content they were expecting and his name is john cena hey wouldnt see this coming
VuiIR08lkK4,highest paying tech companies shorts,google is not the highest paying tech company lets talk about the top five highest paying tech companies number one will shock you at number five we have google which pays to entry level software engineers at four we have snap and it pays for software engineers straight out of college you didnt see that coming did you at three we have pinterest that pays to entry level engineers at number two we have the first company that breaks the barrier in netflix that pays thousand dollars to new grads gosh thats a lot of money and at number one we have stripe that pays thats why
1iuaVRIhe5c,the hologram generator is mind blowing,this is not an editing trick this is a real hologram generator how basically a fan a fan with four blades each of which is filled with a ton of micro led rotating light as the blades move the leds change color at each micro degree of rotation and at just the right speed to effectively paint a k resolution image floating in the air so you can play any videos on this you can use it as a display for gaming you can even cast your phones display directly onto it oh and also its just a fan
